fecha;siglas;grupo_edad;hombres;mujeres;enfermos
2020-10-13;PA;>80;331;606;937
2020-10-13;SE;>80;726;1195;1921
2020-10-13;VA;>80;982;1967;2949
2020-10-13;ZA;>80;355;599;954
2020-10-13;LE;0-9;594;524;1118
2020-10-13;SA;0-9;659;638;1297
2020-10-13;SE;0-9;421;393;814
2020-10-13;ZA;0-9;286;271;557
2020-10-13;AV;10-19;248;235;483
2020-10-13;PA;10-19;291;280;571
2020-10-13;SE;10-19;368;326;694
2020-10-13;VA;10-19;961;948;1909
2020-10-13;BU;20-29;1057;1211;2268
2020-10-13;PA;20-29;408;412;820
2020-10-13;SA;20-29;975;1175;2150
2020-10-13;ZA;20-29;198;241;439
2020-10-13;AV;30-39;429;579;1008
2020-10-13;PA;30-39;446;538;984
2020-10-13;SA;30-39;1086;1475;2561
2020-10-13;AV;40-49;622;805;1427
2020-10-13;SE;40-49;820;1133;1953
2020-10-13;SO;40-49;433;609;1042
2020-10-13;SE;50-59;949;1408;2357
2020-10-13;SO;50-59;456;698;1154
2020-10-13;LE;60-69;1171;1380;2551
2020-10-13;SO;60-69;341;410;751
2020-10-13;VA;60-69;1297;1592;2889
2020-10-13;ZA;60-69;367;402;769
2020-10-13;CyL;60-69;7160;8167;15327
2020-10-13;AV;70-79;386;425;811
2020-10-13;BU;70-79;660;682;1342
2020-10-13;SA;70-79;794;865;1659
2020-10-13;SE;70-79;520;520;1040
2020-10-13;AV;>80;502;855;1357
2020-10-13;SO;>80;445;791;1236
2020-10-13;AV;0-9;255;227;482
2020-10-13;PA;0-9;227;202;429
2020-10-13;LE;10-19;659;612;1271
2020-10-13;AV;20-29;314;383;697
2020-10-13;LE;20-29;861;1007;1868
2020-10-13;SO;20-29;255;324;579
2020-10-13;VA;20-29;1272;1463;2735
2020-10-13;CyL;20-29;5795;6797;12592
2020-10-13;SE;30-39;590;766;1356
2020-10-13;VA;30-39;1522;1965;3487
2020-10-13;ZA;30-39;263;360;623
2020-10-13;PA;40-49;612;722;1334
2020-10-13;SA;40-49;1333;1783;3116
2020-10-13;VA;40-49;1982;2695;4677
2020-10-13;ZA;40-49;351;522;873
2020-10-13;CyL;40-49;9227;12249;21476
2020-10-13;AV;50-59;574;876;1450
2020-10-13;BU;50-59;1402;1932;3334
2020-10-13;LE;50-59;1355;1968;3323
2020-10-13;PA;50-59;600;759;1359
2020-10-13;BU;60-69;1008;1116;2124
2020-10-13;SA;60-69;1150;1282;2432
2020-10-13;PA;70-79;343;345;688
2020-10-13;VA;70-79;979;1057;2036
2020-10-13;ZA;70-79;267;259;526
2020-10-13;CyL;70-79;5099;5231;10330
2020-10-13;SA;>80;1042;1902;2944
2020-10-13;CyL;>80;6212;11296;17508
2020-10-12;SO;0-9;159;143;302
2020-10-12;ZA;0-9;282;270;552
2020-10-12;CyL;0-9;4455;3958;8413
2020-10-12;AV;10-19;243;233;476
2020-10-12;BU;10-19;809;707;1516
2020-10-12;LE;10-19;649;606;1255
2020-10-12;SA;10-19;646;648;1294
2020-10-12;SE;10-19;358;323;681
2020-10-12;VA;10-19;948;936;1884
2020-10-12;ZA;10-19;180;177;357
2020-10-12;LE;20-29;847;996;1843
2020-10-12;PA;20-29;402;402;804
2020-10-12;SO;20-29;254;323;577
2020-10-12;VA;20-29;1261;1452;2713
2020-10-12;ZA;20-29;198;238;436
2020-10-12;BU;30-39;1262;1529;2791
2020-10-12;SE;30-39;585;762;1347
2020-10-12;CyL;30-39;6852;9064;15916
2020-10-12;SA;40-49;1322;1771;3093
2020-10-12;SO;40-49;431;608;1039
2020-10-12;VA;40-49;1960;2676;4636
2020-10-12;SO;50-59;452;698;1150
2020-10-12;AV;60-69;529;599;1128
2020-10-12;SE;60-69;798;852;1650
2020-10-12;VA;60-69;1291;1578;2869
2020-10-12;AV;70-79;385;425;810
2020-10-12;SA;70-79;790;863;1653
2020-10-12;BU;>80;777;1409;2186
2020-10-12;LE;>80;1039;1952;2991
2020-10-12;VA;>80;975;1939;2914
2020-10-12;AV;0-9;253;226;479
2020-10-12;BU;0-9;796;666;1462
2020-10-12;LE;0-9;588;514;1102
2020-10-12;SA;0-9;654;635;1289
2020-10-12;VA;0-9;1074;913;1987
2020-10-12;PA;10-19;288;271;559
2020-10-12;CyL;10-19;4273;4043;8316
2020-10-12;AV;20-29;313;382;695
2020-10-12;CyL;20-29;5723;6729;12452
2020-10-12;ZA;30-39;260;360;620
2020-10-12;LE;40-49;1403;2026;3429
2020-10-12;PA;40-49;606;720;1326
2020-10-12;BU;50-59;1390;1916;3306
2020-10-12;PA;50-59;594;747;1341
2020-10-12;SA;50-59;1476;2107;3583
2020-10-12;VA;50-59;1671;2316;3987
2020-10-12;ZA;50-59;413;597;1010
2020-10-12;BU;60-69;997;1114;2111
2020-10-12;PA;60-69;489;518;1007
2020-10-12;SO;60-69;340;411;751
2020-10-12;CyL;60-69;7118;8114;15232
2020-10-12;BU;70-79;658;677;1335
2020-10-12;LE;70-79;904;852;1756
2020-10-12;SE;70-79;518;516;1034
2020-10-12;VA;70-79;966;1045;2011
2020-10-12;CyL;70-79;5063;5196;10259
2020-10-12;SA;>80;1039;1892;2931
2020-10-12;SO;>80;445;789;1234
2020-10-12;ZA;>80;354;599;953
2020-10-12;PA;0-9;227;201;428
2020-10-12;SE;0-9;422;390;812
2020-10-12;SO;10-19;152;142;294
2020-10-12;BU;20-29;1047;1202;2249
2020-10-12;SA;20-29;956;1155;2111
2020-10-12;SE;20-29;445;579;1024
2020-10-12;AV;30-39;428;577;1005
2020-10-12;LE;30-39;987;1481;2468
2020-10-12;PA;30-39;440;535;975
2020-10-12;SA;30-39;1077;1461;2538
2020-10-12;SO;30-39;305;413;718
2020-10-12;VA;30-39;1508;1946;3454
2020-10-12;AV;40-49;619;801;1420
2020-10-12;BU;40-49;1628;1923;3551
2020-10-12;SE;40-49;811;1126;1937
2020-10-12;ZA;40-49;350;519;869
2020-10-12;CyL;40-49;9130;12170;21300
2020-10-12;AV;50-59;572;872;1444
2020-10-12;LE;50-59;1344;1944;3288
2020-10-12;SE;50-59;945;1403;2348
2020-10-12;CyL;50-59;8857;12600;21457
2020-10-12;LE;60-69;1164;1361;2525
2020-10-12;SA;60-69;1145;1279;2424
2020-10-12;ZA;60-69;365;402;767
2020-10-12;PA;70-79;340;343;683
2020-10-12;SO;70-79;236;216;452
2020-10-12;ZA;70-79;266;259;525
2020-10-12;AV;>80;501;854;1355
2020-10-12;PA;>80;324;598;922
2020-10-12;SE;>80;725;1194;1919
2020-10-12;CyL;>80;6179;11226;17405
2020-10-08;SA;0-9;637;621;1258
2020-10-08;SO;0-9;157;140;297
2020-10-08;BU;10-19;785;680;1465
2020-10-08;VA;10-19;934;916;1850
2020-10-08;LE;20-29;806;951;1757
2020-10-08;PA;20-29;374;386;760
2020-10-08;VA;20-29;1236;1433;2669
2020-10-08;VA;30-39;1476;1922;3398
2020-10-08;ZA;30-39;255;349;604
2020-10-08;LE;40-49;1347;1963;3310
2020-10-08;PA;40-49;591;694;1285
2020-10-08;SA;40-49;1299;1737;3036
2020-10-08;VA;40-49;1913;2637;4550
2020-10-08;CyL;40-49;8916;11938;20854
2020-10-08;PA;50-59;577;732;1309
2020-10-08;SA;50-59;1447;2074;3521
2020-10-08;LE;60-69;1108;1301;2409
2020-10-08;SA;60-69;1115;1255;2370
2020-10-08;SO;60-69;339;408;747
